WCNPO#,WCNTRK
#LE100899,61290983472420125266
#LE100890,61290983472420125273
#LE98882,61290983472420125280
#LE100984,61290983472420125297
#LE100622,9405510200793785258341
#LE100619,61290983472420125303
#LE100623,61290983472420125310
#LE100638,61290983472420125327
#LE100646,61290983472420125334
#LE100810,61290983472420125341
#LE100770,61290983472420125358
#LE100772,61290983472420125365
#LE100765,9405510200830961436145
#LE100769,61290983472420125372
#LE100850,61290983472420125389
#LE100847,61290983472420125396
#LE100843,61290983472420125402
#LE100845,61290983472420125419
#LE100818,61290983472420125426
#LE100872,61290983472420125433
#LE100874,61290983472420125440
#LE100868,61290983472420125457
#LE100897,61290983472420125464
#LE101016,61290983472420125471
#LE101003,61290983472420125488
#LE101000,61290983472420125495
#LE101005,61290983472420125501
#LE100987,61290983472420125518
#LE100990,61290983472420125525
#LE101039,61290983472420125532
#LE100977,61290983472420125549
#LE101027,61290983472420125556
#LE100887,61290983472420125563
#LE100992,61290983472420125570
#LE100630,61290983472420125587
#LE100628,9405510200829770944026
#LE100637,9405510200881771039088
#LE100658,61290983472420125594
#LE100783,9405510200793785270510
#LE100778,61290983472420125600
#LE100857,61290983472420125617
#LE100855,61290983472420125624
#LE100853,9405510200882771201727
#LE100842,61290983472420125631
#LE100880,61290983472420125648
#LE100885,61290983472420125655
#LE101025,61290983472420125662
#LE101019,61290983472420125679
#LE101020,61290983472420125686
#LE100995,61290983472420125693
#LE101036,61290983472420125709
#LE100972,61290983472420125716
#LE100982,61290983472420125723
#LE101031,61290983472420125730
#LE100981,61290983472420125747
#LE100980,61290983472420125754
#LE100976,61290983472420125761
#LE100974,61290983472420125778
#LE100973,61290983472420125785
#LE100971,61290983472420125792
#LE101038,61290983472420125808
#LE100994,61290983472420125815
#LE100993,61290983472420125822
#LE100989,61290983472420125839
#LE100986,61290983472420125846
#LE101006,61290983472420125853
#LE100998,61290983472420125860
#LE100884,9405510200793785502260
#LE100866,9405510200881771262448
#LE100877,61290983472420125877
#LE100876,61290983472420125884
#LE100841,61290983472420125891
#LE100860,61290983472420125907
#LE100852,61290983472420125914
#LE100854,9405510200828771448168
#LE100856,139332411294695
#LE100858,61290983472420125921
#LE100849,61290983472420125938
#LE100862,61290983472420125945
#LE100796,9405510200881771271860
#LE100799,9405510200882771433753
#LE100812,61290983472420125952
#LE100806,61290983472420125969
#LE100764,9405510200829771180690
#LE100762,61290983472420125976
#LE100757,61290983472420125983
#LE100657,61290983472420125990
#LE100635,61290983472420126003
#LE100629,9405510200828771462539
#LE100631,61290983472420126010
#LE100617,61290983472420126027
#LE100805,61290983472420126034
#LE100834,61290983472420126041
#LE100835,61290983472420126058
#LE100837,61290983472420126065
#LE100838,61290983472420126072
#LE100827,61290983472420126089
#LE100833,61290983472420126096
#LE100815,61290983472420126102
#LE100817,61290983472420126119
#LE98948,61290983472420126126
#LE100871,61290983472420126133
#LE100896,61290983472420126140
#LE101021,61290983472420126157
#LE100891,61290983472420126164
#LE100816,61290983472420126171
#LE100822,61290983472420126188
#LE100825,61290983472420126195
#LE100839,61290983472420126201
#LE100836,61290983472420126218
#LE100784,61290983472420126225
#LE100800,61290983472420126232
#LE100809,9405510200882771469561
#LE100804,61290983472420126249
#LE100811,61290983472420126256
#LE100814,61290983472420126263
#LE100803,61290983472420126270
#LE100794,61290983472420126287
#LE100790,61290983472420126294
#LE100787,61290983472420126300
#LE100893,61290983472420126317
#LE101024,61290983472420126324
#LE99826,9405510200829771222390
#LE101009,61290983472420126331
#LE100865,61290983472420126348
#LE99024,61290983472420126355
#LE100859,61290983472420126362
#LE100798,61290983472420126379
#LE100844,61290983472420126386
#LE100870,61290983472420126393
#LE100875,61290983472420126409
#LE100867,61290983472420126416
#LE100888,61290983472420126423
#LE100991,61290983472420126430
#LE101037,61290983472420126447
#LE100851,9405510200793785576469
#LE100808,61290983472420126454
#LE99044,61290983472420126461
#LE100767,61290983472420126478
#LE100766,9405510200882771499544
#LE100768,61290983472420126485
#LE100826,61290983472420126492
#LE99372,61290983472420126508
#LE100786,61290983472420126515
#LE100807,61290983472420126522
#LE100791,61290983472420126539
#LE100830,61290983472420126546
#LE101033,61290983472420126553
#LE99590,61290983472420126560
#LE99116,61290983472420126577
#LE99324,61290983472420126584
#LE99606,61290983472420126591
#LE100756,61290983472420126607
#LE99442,61290983472420126614
#LE98909,61290983472420126621
#LE99485,61290983472420126638
#LE99615,61290983472420126645
#LE99072,9405510200829771281359
#LE99817,9400110200828771561529
#LE101018,9400110200883828884761
#LE101011,9400110200828771563998
#LE101017,9400110200881771382525
#LE100634,9400110200828771565244
#LE100633,9400110200829771286771
#LE100627,9400110200830961813189
#LE100761,61290983472420126652
#LE100759,9405510200882771556476
#LE100758,61290983472420126669
#LE100644,61290983472420126676
#LE100645,9405510200828771579138
#LE100641,61290983472420126683
#LE100626,9400110200828771580575
#LE100625,61290983472420126690
#LE100620,61290983472420126706
#LE100621,61290983472420126713
#LE100801,61290983472420126720
#LE100797,9405510200793785650046
#LE100792,61290983472420126737
#LE100781,61290983472420126744
#LE100780,9400110200828771586966
#LE100775,61290983472420126751
#LE100848,61290983472420126768
#LE100846,61290983472420126775
#LE100824,61290983472420126782
#LE100898,61290983472420126799
#LE101013,61290983472420126805
#LE101010,9400110200793785687452
#LE100996,9405510200829771340964
#LE100985,61290983472420126812
#LE100983,61290983472420126829
#LE101026,61290983472420126836
#LE101029,9405510200830961874992
#LE101008,61290983472420126843
#LE100879,61290983472420126850
#LE100819,61290983472420126867
#LE100823,61290983472420126874
#LE100828,61290983472420126881
#LE100840,61290983472420126898
#LE100788,61290983472420126904
#LE100643,9405510200793785702684
#LE100813,139332411294701
#LE100895,9405510200883828962165
#LE100660,61290983472420126911
#LE100664,61290983472420126928
#LE100997,61290983472420126935
#LE101001,61290983472420126942
#LE100873,61290983472420126959
#LE100776,61290983472420126966
#LE100795,61290983472420126973
#LE101034,9405510200882771634273
#LE101002,61290983472420126980
#LE100863,61290983472420126997
#LE100782,61290983472420127000
#LE100661,61290983472420127017
#LE100656,61290983472420127024
#LE101012,61290983472420127031
#LE100821,61290983472420127048
#LE101022,61290983472420127055
#LE100883,61290983472420127062
#LE100831,61290983472420127079
#LE100774,61290983472420127086
#LE100789,61290983472420127093
#LE100793,61290983472420127109
#LE100999,61290983472420127116
#LE100632,61290983472420127123
#LE100785,61290983472420127130
#LE100832,61290983472420127147
#LE100878,61290983472420127154
#LE100892,61290983472420127161
#LE100882,61290983472420127178
#LE100864,61290983472420127185
#LE100659,61290983472420127192
#LE100616,9405510200828771701058
#LE100636,9405510200883829033567
#LE100640,61290983472420127208
#LE100639,9405510200830961970021
#LE100763,61290983472420127215
#LE100779,9400110200882771705918
#LE100777,9400110200830961985329
#LE100760,61290983472420127222
#LE100861,61290983472420127239
#LE100869,9405510200830961991255
#LE100881,61290983472420127246
#LE101014,61290983472420127253
#LE101023,61290983472420127260
#LE100771,9400110200828771741181
#LE100755,61290983472420127277
#LE100647,9405510200830961999954
#LE100889,61290983472420127284
#LE100903,9400110200882771778271
#LE100910,61290983472420127291
#LE100911,9400110200828771803063
#LE100902,61290983472420127307
#LE100946,61290983472420127314
#LE100901,9405510200883829165237
#LE100963,61290983472420127321
#LE100962,61290983472420127338
#LE100961,9405510200830962111751
#LE100953,61290983472420127345
#LE100952,61290983472420127352
#LE100951,61290983472420127369
#LE101030,9405510200830962121583
#LE100642,9405510200830962133074
#LE100900,61290983472420127376
#LE100907,61290983472420127383
#LE100958,61290983472420127390
#LE100944,61290983472420127406
#LE100934,9405510200793785962316
#LE100943,61290983472420127413
#LE100936,61290983472420127420
#LE100935,61290983472420127437
#LE100905,61290983472420127444
#LE100964,61290983472420127451
#LE100965,61290983472420127468
#LE100966,61290983472420127475
#LE100967,61290983472420127482
#LE100968,61290983472420127499
#LE100904,61290983472420127505
#LE100970,61290983472420127512
#LE100931,61290983472420127529
#LE100942,61290983472420127536
#LE100954,61290983472420127543
#LE100956,9405510200793785981942
#LE100950,61290983472420127550
#LE100957,61290983472420127567
#LE100959,9405510200883829227393
#LE100948,61290983472420127574
#LE100945,61290983472420127581
#LE100941,61290983472420127598
#LE100939,61290983472420127604
#LE100940,61290983472420127611
#LE100938,61290983472420127628
#LE100937,61290983472420127635
#LE100932,61290983472420127642
#LE100909,61290983472420127659
#LE100908,61290983472420127666
#LE100955,61290983472420127673
#LE100960,9405510200829771650773
#LE100618,61290983472420127680
#LE100988,61290983472420127697
#LE99681,61290983472420127703
#LE99167,61290983472420127710
#LE101078,61290983472420127727
#LE101120,61290983472420127734
#LE101117,61290983472420127741
#LE99512,61290983472420127758
#LE101184,61290983472420127765
#LE101160,61290983472420127772
#LE101151,61290983472420127789
#LE101101,61290983472420127796
#LE101099,61290983472420127802
#LE101109,61290983472420127819
#LE101119,61290983472420127826
#LE101127,61290983472420127833
#LE101182,61290983472420127840
#LE101188,61290983472420127857
#LE101174,61290983472420127864
#LE101161,61290983472420127871
#LE101138,139332411294718
#LE101139,61290983472420127888
#LE101121,9405510200883829477415
#LE101123,61290983472420127895
#LE101122,61290983472420127901
#LE101066,61290983472420127918
#LE101162,61290983472420127925
#LE101150,61290983472420127932
#LE101055,61290983472420127949
#LE101085,61290983472420127956
#LE101192,61290983472420127963
#LE101091,9405510200829771880736
#LE101203,9405510200793786258432
#LE101189,61290983472420127970
#LE101167,61290983472420127987
#LE101137,9405510200881771979087
#LE101136,9405510200830962455381
#LE101153,9405510200829771887773
#LE101133,61290983472420127994
#LE101141,61290983472420128007
#LE101146,61290983472420128014
#LE101042,61290983472420128021
#LE101057,61290983472420128038
#LE101056,61290983472420128045
#LE101113,61290983472420128052
#LE101084,61290983472420128069
#LE101090,9405510200830962461719
#LE101202,61290983472420128076
#LE101181,61290983472420128083
#LE101190,61290983472420128090
#LE101159,61290983472420128106
#LE101148,61290983472420128113
#LE101154,61290983472420128120
#LE101155,61290983472420128137
#LE101144,9405510200882772161235
#LE101145,61290983472420128144
#LE101147,61290983472420128151
#LE101060,9405510200830962477086
#LE101110,61290983472420128168
#LE101103,61290983472420128175
#LE101105,61290983472420128182
#LE101106,61290983472420128199
#LE101198,61290983472420128205
#LE101186,9405510200828772189350
#LE101172,61290983472420128212
#LE101175,61290983472420128229
#LE101156,61290983472420128236
#LE101142,61290983472420128243
#LE101040,61290983472420128250
#LE101059,61290983472420128267
#LE101128,61290983472420128274
#LE101114,61290983472420128281
#LE101118,61290983472420128298
#LE101094,61290983472420128304
#LE101104,61290983472420128311
#LE101049,61290983472420128328
#LE101081,61290983472420128335
#LE101079,61290983472420128342
#LE101176,9405510200882772193519
#LE101131,61290983472420128359
#LE101093,61290983472420128366
#LE101074,61290983472420128373
#LE101143,9405510200830962509015
#LE101072,61290983472420128380
#LE101166,9405510200882772200132
#LE101130,61290983472420128397
#LE101046,61290983472420128403
#LE101171,61290983472420128410
#LE101205,61290983472420128427
#LE101140,61290983472420128434
#LE101163,61290983472420128441
#LE101179,9405510200881772039995
#LE101201,61290983472420128458
#LE101095,61290983472420128465
#LE101102,61290983472420128472
#LE101124,61290983472420128489
#LE101058,61290983472420128496
#LE101044,61290983472420128502
#LE101196,61290983472420128519
#LE101199,9405510200828772226918
#LE101200,9405510200883829562463
#LE101092,9405510200829771951191
#LE101050,61290983472420128526
#LE101048,61290983472420128533
#LE101157,61290983472420128540
#LE101177,9405510200829771952891
#LE101097,61290983472420128557
#LE101053,61290983472420128564
#LE101096,61290983472420128571
#LE101149,61290983472420128588
#LE101191,61290983472420128595
#LE101116,61290983472420128601
#LE101125,61290983472420128618
#LE101043,9405510200883829756565
#LE101204,61290983472420128625
#LE101169,61290983472420128632
#LE101082,61290983472420128649
#LE101112,61290983472420128656
#LE101170,61290983472420128663
#LE101180,61290983472420128670
#LE101185,61290983472420128687
#LE101129,61290983472420128694
#LE101168,61290983472420128700
#LE101194,61290983472420128717
#LE101195,9405510200830962740883
#LE101206,61290983472420128724
#LE101111,9405510200793786546089
#LE101126,61290983472420128731
#LE101062,61290983472420128748
#LE101193,61290983472420128755
#LE101054,61290983472420128762
#LE101063,9405510200828772440147
#LE101045,61290983472420128779
#LE101183,61290983472420128786
#LE100979,61290983472420128793
#LE101108,61290983472420128809
#LE100978,61290983472420128816
