WCNPO#,WCNTRK
#LE102551,61290983472420140283
#LE102558,61290983472420140290
#LE102512,61290983472420140306
#LE102595,61290983472420140313
#LE102543,139332411294763
#LE102575,61290983472420140320
#LE102626,61290983472420140337
#LE102628,61290983472420140344
#LE102561,61290983472420140351
#LE102568,61290983472420140368
#LE102572,61290983472420140375
#LE102571,61290983472420140382
#LE102582,61290983472420140399
#LE102587,61290983472420140405
#LE102594,61290983472420140412
#LE102528,61290983472420140429
#LE102541,61290983472420140436
#LE102557,61290983472420140443
#LE102507,61290983472420140450
#LE102482,61290983472420140467
#LE102547,61290983472420140474
#LE102552,61290983472420140481
#LE102553,61290983472420140498
#LE102555,61290983472420140504
#LE102540,61290983472420140511
#LE102534,61290983472420140528
#LE102521,61290983472420140535
#LE102588,61290983472420140542
#LE102576,61290983472420140559
#LE102611,61290983472420140566
#LE102610,61290983472420140573
#LE102614,61290983472420140580
#LE102559,61290983472420140597
#LE102466,61290983472420140603
#LE102471,61290983472420140610
#LE102503,61290983472420140627
#LE102495,61290983472420140634
#LE102545,61290983472420140641
#LE102544,61290983472420140658
#LE102520,61290983472420140665
#LE102536,61290983472420140672
#LE102531,61290983472420140689
#LE102601,61290983472420140696
#LE102606,61290983472420140702
#LE102565,61290983472420140719
#LE102562,61290983472420140726
#LE102574,61290983472420140733
#LE102573,61290983472420140740
#LE102584,61290983472420140757
#LE102591,61290983472420140764
#LE102607,9405510200881777569336
#LE102560,61290983472420140771
#LE102566,61290983472420140788
#LE102467,61290983472420140795
#LE102506,61290983472420140801
#LE102508,61290983472420140818
#LE102509,61290983472420140825
#LE102489,9405510200793792140752
#LE102487,61290983472420140832
#LE102481,61290983472420140849
#LE102504,9405510200881777580201
#LE102519,61290983472420140856
#LE102474,9400110200883835232258
#LE102533,9405510200881777583080
#LE102530,61290983472420140863
#LE102518,61290983472420140870
#LE102604,61290983472420140887
#LE102605,61290983472420140894
#LE102513,61290983472420140900
#LE102597,61290983472420140917
#LE102598,9405510200881777588856
#LE102515,61290983472420140924
#LE102577,61290983472420140931
#LE102578,61290983472420140948
#LE102579,61290983472420140955
#LE102563,61290983472420140962
#LE102622,61290983472420140979
#LE102615,61290983472420140986
#LE102616,61290983472420140993
#LE102590,61290983472420141006
#LE102581,61290983472420141013
#LE102624,61290983472420141020
#LE102620,61290983472420141037
#LE102629,9405510200828777804449
#LE102567,61290983472420141044
#LE102505,9400110200793792172583
#LE102499,9400110200793792173573
#LE102548,61290983472420141051
#LE102525,9400110200829777530380
#LE102532,9400110200829777530946
#LE102529,9400110200881777612183
#LE102583,9405510200883835263958
#LE102592,61290983472420141068
#LE102602,9400110200829777533909
#LE102613,9400110200828777813523
#LE102621,9400110200793792180632
#LE102502,9400110200881777616969
#LE102526,9400110200793792182759
#LE102600,9400110200830968504561
#LE102599,9400110200793792184241
#LE102517,61290983472420141075
#LE102564,9400110200830968508217
#LE102477,9400110200828777821115
#LE102580,61290983472420141082
#LE102556,61290983472420141099
#LE102522,61290983472420141105
#LE102514,61290983472420141112
#LE102527,61290983472420141129
#LE102625,61290983472420141136
#LE102585,61290983472420141143
#LE102501,61290983472420141150
#LE102539,61290983472420141167
#LE102617,61290983472420141174
#LE102609,61290983472420141181
#LE102510,61290983472420141198
#LE102464,9400110200793792232195
#LE102465,9400110200882777829014
